,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,ISO,MPI Urban,Headcount Ratio Urban,Intensity of Deprivation Urban,MPI Rural,Headcount Ratio Rural,Intensity of Deprivation Rural
56,Mozambique,SUB-SAHARAN AFRICA                 ,19686505,801590,"24,6","0,31",0,"130,79",1200,"47,8","3,5","5,1","0,3","94,6",2,"35,18","21,35","0,262","0,348","0,39",MOZ,0.189,38.2,49.6,0.48,83.9,57.2
57,Namibia,SUB-SAHARAN AFRICA                 ,2044147,825418,"2,5","0,19",0,"48,98",7200,"84,0","62,6","0,99",0,"99,01",1,"24,32","18,86","0,097","0,315","0,588",NAM,0.087,20.3,43,0.288,61.46,46.9
58,Nepal,ASIA (EX. NEAR EAST)         ,28287147,147181,"192,2","0,00",0,"66,98",1400,"45,2","15,9","21,68","0,64","77,68",,"30,98","9,31","0,38","0,21","0,41",NPL,0.031,7,43.8,0.147,33.13,44.2
59,Nicaragua,LATIN AMER. & CARIB    ,5570129,129494,"43,0","0,70","-1,22","29,11",2300,"67,5","39,7","15,94","1,94","82,12",2,"24,51","4,45","0,165","0,275","0,56",NIC,0.015,3.8,40,0.15,32.81,45.8
60,Niger,SUB-SAHARAN AFRICA                 ,12525094,1267000,"9,9","0,00","-0,67","121,69",800,"17,6","1,9","3,54","0,01","96,45",1,"50,73","20,91","0,39","0,17","0,44",NER,0.276,53.9,51.2,0.669,96.19,69.5
61,Nigeria,SUB-SAHARAN AFRICA                 ,131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244",NGA,0.132,28.1,47,0.416,69.98,59.5
62,Pakistan,ASIA (EX. NEAR EAST)         ,165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26",1,"29,74","8,23","0,216","0,251","0,533",PAK,0.087,20,43.3,0.299,55.7,53.6
63,Peru,LATIN AMER. & CARIB    ,28302603,1285220,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65",PER,0.011,2.9,38.6,0.113,27.13,41.6
64,Philippines,ASIA (EX. NEAR EAST)         ,89468677,300000,"298,2","12,10","-1,5","23,51",4600,"92,6","38,4","18,95","16,77","64,28",2,"24,89","5,41","0,144","0,326","0,53",PHL,0.035,8.1,42.7,0.068,13.67,49.9
65,Rwanda,SUB-SAHARAN AFRICA                 ,8648248,26338,"328,4","0,00",0,"91,23",1300,"70,4","2,7","40,54","12,16","47,3",3,"40,37","16,09","0,401","0,229","0,37",RWA,0.11,24.8,44.2,0.289,59.78,48.4
66,Saint Lucia,LATIN AMER. & CARIB    ,168458,616,"273,5","25,65","-2,67","13,53",5400,"67,0","303,3","6,56","22,95","70,49",2,"19,68","5,08","0,07","0,2","0,73",LCA,0.002,0.5,36.7,0.004,1.05,35.2
67,Sao Tome & Principe,SUB-SAHARAN AFRICA                 ,193413,1001,"193,2","20,88","-2,72","43,11",1200,"79,3","36,2","6,25","48,96","44,79",2,"40,25","6,47","0,167","0,148","0,684",STP,0.067,15.9,42.3,0.11,26.18,42.1
68,Senegal,SUB-SAHARAN AFRICA                 ,11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01",2,"32,78","9,42","0,172","0,209","0,619",SEN,0.142,29.7,47.7,0.472,81.04,58.3
69,Serbia,EASTERN EUROPE                     ,9396411,88361,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8","33,35","3,2","63,45",,,,"0,166","0,255","0,579",SRB,0,0.1,41.4,0.002,0.5,40.3
70,Sierra Leone,SUB-SAHARAN AFRICA                 ,6005250,71740,"83,7","0,56",0,"143,64",500,"31,4","4,0","6,98","0,89","92,13",2,"45,76","23,03","0,49","0,31","0,21",SLE,0.271,56.3,48.2,0.551,92.03,59.8
71,Somalia,SUB-SAHARAN AFRICA                 ,8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","1,67","0,04","98,29",1,"45,13","16,63","0,65","0,1","0,25",SOM,0.293,55.9,52.4,0.651,96.92,67.2
72,South Africa,SUB-SAHARAN AFRICA                 ,44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","12,08","0,79","87,13",1,"18,2",22,"0,025","0,303","0,671",ZAF,0.014,3.6,37.4,0.068,17.17,39.7
73,Sudan,SUB-SAHARAN AFRICA                 ,41236378,2505810,"16,5","0,03","-0,02","62,5",1900,"61,1","16,3","6,83","0,18","92,99",2,"34,53","8,97","0,387","0,203","0,41",SDN,0.133,28.7,46.3,0.356,64.5,55.1
74,Suriname,LATIN AMER. & CARIB    ,439117,163270,"2,7","0,24","-8,81","23,57",4000,"93,0","184,7","0,37","0,06","99,57",2,"18,02","7,27","0,13","0,22","0,65",SUR,0.008,2.3,36.7,0.063,14.85,42.3
75,Swaziland,SUB-SAHARAN AFRICA                 ,1136334,17363,"65,5","0,00",0,"69,27",4900,"81,6","30,8","10,35","0,7","88,95","2,5","27,41","29,74","0,119","0,515","0,366",SWZ,0.02,5.2,39.4,0.083,19.84,41.7
76,Tajikistan,C.W. OF IND. STATES ,7320815,143100,"51,2","0,00","-2,86","110,76",1000,"99,4","33,5","6,61","0,92","92,47",2,"32,65","8,25","0,234","0,286","0,48",TJK,0.02,5.5,36.3,0.065,15.63,41.3
77,Tanzania,SUB-SAHARAN AFRICA                 ,37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2","4,0","4,52","1,08","94,4",,"37,71","16,39","0,432","0,172","0,396",TZA,0.122,27.7,44.3,0.351,68.56,51.2
78,Thailand,ASIA (EX. NEAR EAST)         ,64631595,514000,"125,7","0,63",0,"20,48",7400,"92,6","108,9","29,36","6,46","64,18",2,"13,87","7,04","0,099","0,441","0,46",THA,0.002,0.6,37.1,0.004,1.07,36.5
79,Togo,SUB-SAHARAN AFRICA                 ,5548702,56785,"97,7","0,10",0,"66,61",1500,"60,9","10,6","46,15","2,21","51,64",2,"37,01","9,83","0,395","0,204","0,401",TGO,0.081,19.6,41.5,0.356,68.55,51.9
80,Trinidad & Tobago,LATIN AMER. & CARIB    ,1065842,5128,"207,9","7,06","-10,83","24,31",9500,"98,6","303,5","14,62","9,16","76,22",2,"12,9","10,57","0,007","0,57","0,423",TTO,0.018,5.4,33.6,0.02,5.66,35.4
81,Tunisia,NORTHERN AFRICA                    ,10175014,163610,"62,2","0,70","-0,57","24,77",6900,"74,2","123,6","17,86","13,74","68,4",3,"15,52","5,13","0,132","0,318","0,55",TUN,0,0.1,35.6,0.012,3.18,38.7
82,Turkmenistan,C.W. OF IND. STATES ,5042920,488100,"10,3","0,00","-0,86","73,08",5800,"98,0","74,6","3,72","0,14","96,14",1,"27,61","8,6","0,209","0,38","0,411",TKM,0.001,0.4,33.9,0.001,0.32,34.3
83,Uganda,SUB-SAHARAN AFRICA                 ,28195754,236040,"119,5","0,00",0,"67,83",1400,"69,9","3,6","25,88","10,65","63,47",2,"47,35","12,24","0,311","0,222","0,469",UGA,0.133,29.2,45.5,0.408,77.07,52.9
84,Ukraine,C.W. OF IND. STATES ,46710816,603700,"77,4","0,46","-0,39","20,34",5400,"99,7","259,9","56,21","1,61","42,18",3,"8,82","14,39","0,187","0,452","0,361",UKR,0.003,1,33.7,0.006,1.77,36.3
85,Uzbekistan,C.W. OF IND. STATES ,27307134,447400,"61,0","0,00","-1,72","71,1",1700,"99,3","62,9","10,83","0,83","88,34",1,"26,36","7,84","0,342","0,229","0,43",UZB,0.004,1.1,33.9,0.01,2.86,36.6
86,Vanuatu,OCEANIA                            ,208869,12200,"17,1","20,72",0,"55,16",2900,"53,0","32,6","2,46","7,38","90,16",2,"22,72","7,82","0,26","0,12","0,62",VUT,0.039,9.8,39.3,0.155,36.13,43
87,Yemen,NEAR EAST                          ,21456188,527970,"40,6","0,36",0,"61,5",800,"50,2","37,2","2,78","0,24","96,98",1,"42,89","8,3","0,135","0,472","0,393",YEM,0.08,19,42.1,0.304,57.72,52.7
88,Zambia,SUB-SAHARAN AFRICA                 ,11502010,752614,"15,3","0,00",0,"88,29",800,"80,6","8,2","7,08","0,03","92,9",2,41,"19,93","0,22","0,29","0,489",ZMB,0.13,29.5,44,0.38,74.2,51.3
89,Zimbabwe,SUB-SAHARAN AFRICA                 ,12236805,390580,"31,3","0,00",0,"67,69",1900,"90,7","26,8","8,32","0,34","91,34",2,"28,01","21,84","0,179","0,243","0,579",ZWE,0.034,8.7,39.3,0.202,46.27,43.7
